Date & Year,Stadium,Match format,Country,Bowler name,Bowling Hand,Over number,Bowler type,Delivery type,Speed of delivery,Shot played,Runs/W,Unnamed: 12,Unnamed: 13,Unnamed: 14
"10 Feb, 2018",Johannesburg,ODI,South Africa,Lungi Ngidi,Right,16.5,Fast,Short Ball,,Flick,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,17.2,Fast,Straight Seam,,Flick,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,17.6,Fast,Short Ball,,Back Foot Defence,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Andile Phehlukwayo,Right,18.4,Fast,Full ball,,Cover Drive,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Andile Phehlukwayo,Right,18.5,Fast,Good length,,Cover Drive,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,19.1,Fast,Good length,,Off Drive,4,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,19.2,Fast,Short Ball,,Flick,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,19.3,Fast,Short Ball,,Steering,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,19.4,Fast,Short Ball,,Pull Shot,0,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Chris Morris,Right,19.5,Fast,Straight Seam,,Flick,1,,,
"10 Feb, 2018",Johannesburg,ODI,South Africa,Andile Phehlukwayo,Right,20.1,Fast,Good length,,On Drive,1,,,
